Sl. No.,State/UT,Categroy,2018,2019,2020,2021,2022
1,Andhra Pradesh,State,1207,1886,1899,1875,2341
2,Arunachal Pradesh,State,7,8,30,47,14
3,Assam,State,2022,2231,3530,4846,1733
4,Bihar,State,374,1050,1512,1413,1621
5,Chhattisgarh,State,139,175,297,352,439
6,Goa,State,29,15,40,36,90
7,Gujarat,State,702,784,1283,1536,1417
8,Haryana,State,418,564,656,622,681
9,Himachal Pradesh,State,69,76,98,70,77
10,Jharkhand,State,930,1095,1204,953,967
11,Karnataka,State,5839,12020,10741,8136,12556
12,Kerala,State,340,307,426,626,773
13,Madhya Pradesh,State,740,602,699,589,826
14,Maharashtra,State,3511,4967,5496,5562,8249
15,Manipur,State,29,4,79,67,18
16,Meghalaya,State,74,89,142,107,75
17,Mizoram,State,6,8,13,30,1
18,Nagaland ,State,2,2,8,8,4
19,Odisha,State,843,1485,1931,2037,1983
20,Punjab,State,239,243,378,551,697
21,Rajasthan,State,1104,1762,1354,1504,1833
22,Sikkim,State,1,2,0,0,26
23,Tamil Nadu,State,295,385,782,1076,2082
24,Telangana,State,1205,2691,5024,10303,15297
25,Tripura,State,20,20,34,24,30
26,Uttar Pradesh,State,6280,11416,11097,8829,10117
27,Uttarakhand,State,171,100,243,718,559
28,West Bengal,State,335,524,712,513,401
Total States ,Total States ,Total States ,26931,44511,49708,52430,64907
29,Andaman and Nicobar Islands,Union Territory,7,2,5,8,28
30,Chandigarh,Union Territory,30,23,17,15,27
31,Dadra and Nagar Haveli and Daman and Diu,Union Territory,0,3,3,5,5
32,Delhi,Union Territory,189,115,168,356,685
33,Jammu and Kashmir ,Union Territory,73,73,120,154,173
34,Ladakh,Union Territory,NA,NA,1,5,3
35,Lakshadweep,Union Territory,4,4,3,1,1
36,Puducherry,Union Territory,14,4,10,0,64
Total UTs,Total UTs,Total UTs,317,224,327,544,986
Total (All India),Total (All India),Total (All India),27248,44735,50035,52974,65893
